MouseID,Timepoint,Age_at_S1K,Qall,YFP+,YFP+.Ki67+,YFP-,YFP-.Ki67+,population,organ,YFP+frac,YFP+.Ki67+frac,YFP-frac,YFP-.Ki67+frac,Ki67+frac,YFP+.Ki67-,YFP-.Ki67-
BPS1-02243,9,79,174195.428571429,52400.5714285714,11026.8571428571,121794.857142857,26719.4285714286,4CM,LN,0.300814848347669,0.210433910208177,0.699185151652331,0.219380597820222,0.216689301342991,41373.7142857143,95075.4285714286
BPS1-02243,9,79,6689714.28571429,696032.571428572,9817.71428571429,5993142.85714286,21291.4285714286,4Naive,LN,0.104045186640472,0.014105251232085,0.895874263261297,0.003552631578947,0.004650294695481,686214.857142857,5971851.42857143
BPS1-02238,9,79,5389603.09278351,302082.618556701,4820.18556701031,5089533.29896907,23346.118556701,4Naive,LN,0.05604914004914,0.015956514115378,0.944324324324324,0.004587084352396,0.005226044226044,297262.432989691,5066187.18041237
BPS1-02238,9,79,137229.62371134,33913.4484536082,7190.55154639175,103316.175257732,26683.1701030928,4CM,LN,0.247129209688314,0.212026552128075,0.752870790311686,0.25826711099718,0.246839718228312,26722.8969072165,76633.0051546392
BPS1-02243,9,79,536294.285714286,172723.428571429,26758.8571428571,363570.857142857,34513.1428571429,4EM,LN,0.322068373973778,0.154923147161771,0.677931626026222,0.094928243502151,0.114250704570518,145964.571428571,329057.714285714
BPS1-02238,9,79,459784.788659794,126450.417525773,23452.0567010309,333334.371134021,39236.8402061856,4EM,LN,0.275020880735002,0.185464446538905,0.724979119264998,0.11771015413952,0.136343999308776,102998.360824742,294097.530927835
BPS1-01868,10,83,6870451.61927711,625817.407228916,7628.48674698795,6244634.21204819,16270.3518072289,4Naive,LN,0.091088248911178,0.012189636559914,0.908911751088822,0.002605493172977,0.003478496011407,618188.920481928,6228363.86024096
BPS1-01868,10,83,88980.2457831325,29303.5228915663,5292.08674698795,59676.7228915663,13202.0674698795,4CM,LN,0.32932616260677,0.18059558117195,0.67067383739323,0.22122641509434,0.207845618475166,24011.4361445783,46474.6554216868
BPS1-01868,10,83,351107.436144578,107361.802409639,13230.2168674699,243745.63373494,26347.8361445783,4EM,LN,0.305780485849435,0.123230204509701,0.694219514150565,0.108095623051161,0.112723482722681,94131.5855421687,217397.797590361
BPS1-01866,14,64,367986.389965792,114659.940706956,12946.3990877993,253326.449258837,27035.9680729761,4EM,LN,0.311587449518484,0.112911266201396,0.688412550481516,0.106723826714801,0.108651755203479,101713.541619156,226290.481185861
BPS1-01866,14,64,8202815.5986317,1769026.83694413,16118.6955530217,6433788.76168757,15604.2690992018,4Naive,LN,0.215660929551948,0.009111617312073,0.784339070448052,0.002425362360686,0.003867326318723,1752908.14139111,6418184.49258837
BPS1-01866,14,64,68104.34663626,20891.4298745724,4629.83808437856,47212.9167616876,12974.9783352338,4CM,LN,0.306756189676878,0.221614227086183,0.693243810323122,0.274818401937046,0.258497691984893,16261.5917901938,34237.9384264538
BPS1-02239,15,85,73392.4191919192,14767.9343434343,3431.80303030303,58624.4848484848,14466.898989899,4CM,LN,0.201218797609282,0.232382061735585,0.798781202390718,0.246772300469484,0.243876713934138,11336.1313131313,44157.5858585859
BPS1-02244,15,85,124537.740384615,27013.1009615385,5500.55288461538,97524.6394230769,19684.4711538462,4CM,LN,0.216906946264744,0.203625377643504,0.783093053735256,0.2018410041841,0.202228047182176,21512.5480769231,77840.1682692308
BPS1-02239,15,85,395809.883838384,109482.257575758,18750.202020202,286327.626262626,36666.1060606061,4EM,LN,0.276603142180404,0.171262471521722,0.723396857819596,0.12805647341544,0.140007388252678,90732.0555555556,249661.52020202
BPS1-02244,15,85,761165.528846154,167595.480769231,24107.7644230769,593570.048076923,72584.4471153846,4EM,LN,0.220182699318094,0.143844955200623,0.779817300681906,0.122284551504152,0.127031779388429,143487.716346154,520985.600961539
BPS1-02244,15,85,8177379.80769231,1735089.83173077,14591.9711538462,6439090.84134615,22834.6394230769,4Naive,LN,0.212181636726547,0.008409922579795,0.787427145708583,0.003546252100755,0.004576846307385,1720497.86057692,6416256.20192308
BPS1-02239,15,85,3250846.37878788,454675.196969697,5040.19191919192,2796171.18181818,14174.4646464646,4Naive,LN,0.139863636724424,0.011085258120046,0.860136363275576,0.00506924065974,0.005910662740336,449635.005050505,2781996.71717172
BPS1-02240,22,92,332553.113043478,87229.8434782609,10285.147826087,245323.269565217,21873.3913043478,4EM,LN,0.262303493959043,0.11790858972079,0.737696506040957,0.089161502466169,0.096701963894202,76944.6956521739,223449.87826087
BPS1-02245,22,92,411646.640625,123772.421875,14044.140625,287874.21875,23611.328125,4EM,LN,0.300676380322398,0.113467446239223,0.699323619677602,0.082019599488709,0.091475224218587,109728.28125,264262.890625
BPS1-02245,22,92,4650658.90625,1754732.578125,17343.59375,2895926.328125,10106.875,4Naive,LN,0.377308380059183,0.009883895680863,0.622691619940817,0.003490031808421,0.005902490228451,1737388.984375,2885819.453125
BPS1-02245,22,92,90225.9375,22998.046875,4636.40625,67227.890625,10070.078125,4CM,LN,0.25489396411093,0.2016,0.74510603588907,0.149790184272943,0.162996193583469,18361.640625,57157.8125
BPS1-02240,22,92,78108.1739130435,16816.1391304348,4110.95652173913,61292.0347826087,12410.4347826087,4CM,LN,0.215292949354518,0.244464944649446,0.784707050645482,0.202480384712731,0.211519364448858,12705.1826086957,48881.6
BPS1-02240,22,92,3576795.89565217,889223.165217391,6825.73913043478,2687572.73043478,9199.2347826087,4Naive,LN,0.248608864234691,0.007676069852236,0.751391135765309,0.003422878450296,0.004480259534105,882397.426086957,2678373.49565217
BPS1-02124,28,122,5628899.85365854,1453311.75609756,11542.5853658537,4175588.09756098,21234.243902439,4Naive,LN,0.258187531112847,0.007942263810518,0.741812468887153,0.005085330115497,0.005822954772768,1441769.17073171,4154353.85365854
BPS1-02128,28,122,6228782.37458194,2268772.80936455,12083.0769230769,3960009.56521739,13878.0267558528,4Naive,LN,0.364240179368415,0.005325820581595,0.635759820631585,0.003504543745992,0.004167925947272,2256689.73244147,3946131.53846154
BPS1-02124,28,122,237766.975609756,43933.8048780488,11696.8292682927,193833.170731707,41337.3658536585,4CM,LN,0.184776732619743,0.26623756582797,0.815223267380257,0.213262599469496,0.223051140663856,32236.9756097561,152495.804878049
BPS1-02128,28,122,164872.7090301,41371.4046822742,8318.0602006689,123501.304347826,19832.0066889632,4CM,LN,0.25092936802974,0.201058201058201,0.74907063197026,0.160581354129741,0.170738183749336,33053.3444816054,103669.297658863
BPS1-02124,28,122,746129.170731707,161236.292682927,33188.1463414634,584892.878048781,80849.512195122,4EM,LN,0.216097023153252,0.205835459183673,0.783902976846747,0.138229606188467,0.152839029768467,128048.146341463,504043.365853659
BPS1-02128,28,122,831849.799331104,190439.799331104,25829.7658862876,641410,69127.4581939799,4EM,LN,0.228935319193727,0.135632183908046,0.771064680806273,0.107774213364275,0.114151886742803,164610.033444816,572282.54180602
BPS1-02130,40,134,107853.619834711,35445.4214876033,7910.47933884298,72408.1983471074,10722.6446280992,4CM,LN,0.328643781654474,0.223173515981735,0.671356218345526,0.148086057557977,0.172763083849184,27534.9421487603,61685.5537190083
BPS1-02129,40,134,130095.614814815,40988.4444444444,8838.13333333333,89107.1703703704,14986.4,4CM,LN,0.315063997374467,0.215625,0.684936002625533,0.168183996166747,0.183130948473909,32150.3111111111,74120.7703703704
BPS1-02125,40,134,144878.569105691,30737.1707317073,5854.69918699187,114141.398373984,19456.7804878049,4CM,LN,0.212158160599199,0.190476190476191,0.787841839400801,0.170462082688481,0.174708238982756,24882.4715447154,94684.6178861789
BPS1-02125,40,134,6367111.54471545,1617991.54471545,6435.12195121951,4749120,15368.5853658537,4Naive,LN,0.254117040883058,0.003977228417687,0.745882959116942,0.003236091184441,0.003424426785042,1611556.42276423,4733751.41463415
BPS1-02129,40,134,5094671.51111111,2286151.83703704,13854.9481481482,2808519.67407407,14687.5259259259,4Naive,LN,0.448733904050753,0.006060379684188,0.551266095949247,0.005229632557503,0.005602416958939,2272296.88888889,2793832.14814815
BPS1-02130,40,134,5592607.73553719,2625611.50413223,11430.7438016529,2966996.23140496,10601.2561983471,4Naive,LN,0.469478931527464,0.004353554889466,0.530521068472536,0.003573060216975,0.003939486021879,2614180.76033058,2956394.97520661
BPS1-02125,40,134,925521.951219512,183640.715447154,22030.8292682927,741881.235772358,46635.7073170732,4EM,LN,0.198418541240627,0.119967019376117,0.801581458759373,0.06286141914416,0.074192229038855,161609.886178862,695245.528455285
BPS1-02130,40,134,712813.090909091,192198.347107438,22760.3305785124,520614.743801653,35587.041322314,4EM,LN,0.269633582153095,0.118421052631579,0.730366417846905,0.068355807717717,0.081855079045213,169438.016528926,485027.702479339
BPS1-02129,40,134,948861.140740741,289544.933333333,32619.9703703704,659316.207407407,50979.3777777778,4EM,LN,0.305149953877652,0.112659441126594,0.694850046122348,0.077321590467556,0.088104933966297,256924.962962963,608336.82962963
BPS1-02126,67,161,126813.021635017,30596.9603546102,5310.21625989104,96216.0612804066,16436.3836615675,4CM,LN,0.241276171485543,0.173553719008264,0.758723828514457,0.170827858081472,0.17148554336989,25286.7440947192,79779.6776188391
BPS1-02126,67,161,5599117.3111732,1364599.14507152,6953.85462604778,4234518.16610168,20987.9975986169,4Naive,LN,0.243716834142486,0.005095895487816,0.756283165857514,0.004956407500299,0.004990403071017,1357645.29044547,4213530.16850306
BPS1-02131,67,161,477608.057142857,145930.4,27463.92,331677.657142857,39441.3485714286,4EM,LN,0.30554425918395,0.188198757763975,0.69445574081605,0.118914698418895,0.140084045004745,118466.48,292236.308571429
BPS1-02131,67,161,126973.691428571,44465.3942857143,6772.10285714286,82508.2971428571,11122.8228571429,4CM,LN,0.350193758923108,0.152300524170064,0.649806241076892,0.13480853735091,0.140934121966143,37693.2914285714,71385.4742857143
BPS1-02126,67,161,594997.088548743,148686.055276949,28321.1533860855,446311.033271794,65239.7997643756,4EM,LN,0.249893752656184,0.190476190476191,0.750106247343816,0.146175637393768,0.157246068848279,120364.901890863,381071.233507419
BPS1-02131,67,161,4483572.34285714,1688364.22857143,7769.14285714286,2795208.11428571,10073.9885714286,4Naive,LN,0.376566741754751,0.004601579875757,0.623433258245249,0.003604020938528,0.003979668457229,1680595.08571429,2785134.12571429
BPS1-01714,0,56,1782.47305728871,59.5575723199092,8.50822461712989,1722.9154849688,107.770845150312,4EM.CD69+CD103-,LP,0.033412887828162,0.142857142857143,0.966587112171838,0.062551440329218,0.065234685759746,51.0493477027794,1615.14463981849
BPS1-01714,0,56,123.369256948383,5.67214974475326,5.67214974475326,117.69710720363,63.8116846284742,4EM.CD69-CD103+,LP,0.045977011494253,1,0.954022988505747,0.542168674698795,0.563218390804598,0,53.885422575156
BPS1-01714,0,56,709.018718094158,11.3442994895065,2.83607487237663,697.674418604651,171.582529778786,4EM.CD69-CD103-,LP,0.016,0.25,0.984,0.245934959349593,0.246,8.50822461712989,526.091888825865
BPS1-01714,0,56,832.387975042541,17.0164492342598,8.50822461712989,815.371525808281,235.39421440726,4EM.CD69-,LP,0.020442930153322,0.5,0.979557069846678,0.288695652173913,0.293015332197615,8.50822461712989,579.977311401021
BPS1-01714,0,56,3698.24163357913,126.20533182076,24.1066364152014,3572.03630175837,436.755530346001,4EM,LP,0.034125766871166,0.191011235955056,0.965874233128834,0.122270742358079,0.124616564417178,102.098695405559,3135.28077141236
BPS1-01714,0,56,2865.85365853659,109.1888825865,15.5984117980715,2756.66477595009,201.361315938741,4EM.CD69+,LP,0.038099950519545,0.142857142857143,0.961900049480455,0.073045267489712,0.075705096486888,93.5904707884288,2555.30346001134
BPS1-01714,0,56,1083.38060124787,49.631310266591,7.09018718094158,1033.74929098128,93.5904707884288,4EM.CD69+CD103+,LP,0.045811518324607,0.142857142857143,0.954188481675393,0.090534979423868,0.092931937172775,42.5411230856495,940.158820192853
BPS1-01424,1,133,14161.220043573,27.2331154684096,0,14133.9869281046,1575.8896151053,4EM.CD69-,LP,0.001923076923077,0,0.998076923076923,0.111496467565832,0.111282051282051,27.2331154684096,12558.0973129993
BPS1-01424,1,133,13563.9070442992,27.2331154684096,0,13536.6739288308,1323.52941176471,4EM.CD69-CD103-,LP,0.002007763351626,0,0.997992236648373,0.097773605150215,0.097577298889038,27.2331154684096,12213.1445170661
BPS1-01424,1,133,16630.3558460421,32.6797385620915,0,16597.67610748,1423.38416848221,4EM.CD69+CD103-,LP,0.001965065502183,0,0.998034934497817,0.085758039816233,0.085589519650655,32.6797385620915,15174.2919389978
BPS1-01424,1,133,33021.0602759622,81.6993464052288,3.63108206245461,32939.360929557,2534.49527959332,4EM.CD69+,LP,0.002474158786013,0.044444444444445,0.997525841213987,0.076944276029323,0.076863866285463,78.0682643427742,30404.8656499637
BPS1-01424,1,133,16390.7044299201,49.0196078431373,3.63108206245461,16341.684822077,1111.11111111111,4EM.CD69+CD103+,LP,0.002990695613646,0.074074074074074,0.997009304386354,0.067992445283857,0.068010633584404,45.3885257806827,15230.5737109659
BPS1-01424,1,133,47182.2803195352,118.010167029775,9.07770515613653,47064.2701525054,4104.93827160494,4EM,LP,0.002501154378944,0.076923076923077,0.997498845621056,0.087219843382325,0.087194089579806,108.932461873638,42959.3318809005
BPS1-01424,1,133,597.312999273784,0,0,597.312999273784,252.360203340595,4EM.CD69-CD103+,LP,0,,1,0.422492401215806,0.422492401215806,0,344.952795933188
BPS1-01423,2,133,22395.31227669,4118.90810347292,1802.2009432614,18276.4041732171,318.708017721881,4EM,LP,0.183918315252074,0.437543372657877,0.816081684747926,0.017438223334376,0.094703254626675,2316.70716021152,17957.6961554952
