MouseID,Age_at_SK1,Days_post_treatment,mT+,mT-,mT+.Ki67+,mT-.Ki67+,population,organ,Qall,mT+frac,mT+.Ki67+frac,mT-frac,mT-.Ki67+frac,Ki67+frac,mT+.Ki67-,mT-.Ki67-
BPS1-00908,185,98.0,129405.54074554105,190034.5038202329,25439.05882192144,57811.726648679796,4EM,LN,319440.0445657739,0.4051011854867681,0.196584,0.594898814513232,0.304217,0.2606147441025027,103966.4819236196,132222.7771715531
BPS1-00908,185,98.0,31576.78802407453,68508.81568881584,5860.841317996377,24626.17888750174,4CM,LN,100085.60371289037,0.3154978024077967,0.18560600000000002,0.6845021975922033,0.35946,0.30460944506019494,25715.946706078154,43882.636801314104
BPS1-00908,185,98.0,412047.4386375903,3398951.4740753514,3611.5545949146153,86336.08660269318,4Naive,LN,3810998.912712942,0.10812058677399765,0.008764899999999999,0.8918794132260023,0.025400799999999998,0.02360211673048645,408435.8840426757,3312615.3874726584
BPS1-00753,221,113.0,188743.25366229762,294998.7149832948,30331.22960678489,81945.62804420458,4EM,LN,483741.9686455924,0.3901734104046243,0.160701,0.6098265895953757,0.27778300000000006,0.2321007167630058,158412.02405551274,213053.0869390902
BPS1-00755,221,113.0,1220266.1929610304,11203973.442877762,9694.526796598202,255747.49979384922,4Naive,LN,12424239.635838792,0.0982165692813158,0.0079446,0.9017834307186843,0.0228265,0.021364850837612387,1210571.6661644322,10948225.943083912
BPS1-00753,221,113.0,520215.8828064765,7589411.462349011,3242.0894248265226,184938.01957337442,4Naive,LN,8109627.345155487,0.06414793931526853,0.006232199999999999,0.9358520606847315,0.024367899999999994,0.023204532216960082,516973.79338165,7404473.442775636
BPS1-00755,221,113.0,99300.54402131676,225549.72798934163,16627.975396913513,65675.11869648051,4CM,LN,324850.2720106584,0.30568096313017307,0.167451,0.6943190368698269,0.291178,0.25335701147479306,82672.56862440324,159874.60929286113
BPS1-00755,221,113.0,359804.06350616185,535672.9654713001,56085.5378112135,137850.61660734983,4EM,LN,895477.0289774619,0.40180155588917704,0.15587800000000002,0.598198444110823,0.257341,0.21657300873481644,303718.52569494833,397822.34886395023
BPS1-00753,221,113.0,77964.53353893601,216417.37342585454,11459.07121048574,71494.12856335132,4CM,LN,294381.90696479054,0.26484145830423245,0.14697800000000003,0.7351585416957676,0.33035299999999995,0.28178769758346134,66505.46232845027,144923.24486250323
BPS1-02201,461,405.0,10162.124865316462,168043.2532076244,0.0,0.0,4CM,LN,178205.37807294086,0.05702479338842975,0.0,0.9429752066115702,0.0,0.0,0.0,0.0
